nrate,manage,var,block,yield
1,1,1,1,3.32
1,1,1,2,3.864
1,1,1,3,4.507
1,1,2,1,6.101
1,1,2,2,5.122
1,1,2,3,4.815
1,1,3,1,5.355
1,1,3,2,5.536
1,1,3,3,5.244
1,2,1,1,3.766
1,2,1,2,4.311
1,2,1,3,4.875
1,2,2,1,5.096
1,2,2,2,4.873
1,2,2,3,4.166
1,2,3,1,7.442
1,2,3,2,6.462
1,2,3,3,5.584
1,3,1,1,4.66
1,3,1,2,5.915
1,3,1,3,5.4
1,3,2,1,6.573
1,3,2,2,5.495
1,3,2,3,4.225
1,3,3,1,7.018
1,3,3,2,8.02
1,3,3,3,7.642
2,1,1,1,3.188
2,1,1,2,4.752
2,1,1,3,4.756
2,1,2,1,5.595
2,1,2,2,6.78
2,1,2,3,5.39
2,1,3,1,6.706
2,1,3,2,6.546
2,1,3,3,7.092
2,2,1,1,3.625
2,2,1,2,4.809
2,2,1,3,5.295
2,2,2,1,6.357
2,2,2,2,5.925
2,2,2,3,5.163
2,2,3,1,8.592
2,2,3,2,7.646
2,2,3,3,7.212
2,3,1,1,5.232
2,3,1,2,5.17
2,3,1,3,6.046
2,3,2,1,7.016
2,3,2,2,7.442
2,3,2,3,4.478
2,3,3,1,8.48
2,3,3,2,9.942
2,3,3,3,8.714
3,1,1,1,5.468
3,1,1,2,5.788
3,1,1,3,4.422
3,1,2,1,5.442
3,1,2,2,5.988
3,1,2,3,6.509
3,1,3,1,8.452
3,1,3,2,6.698
3,1,3,3,8.65
3,2,1,1,5.759
3,2,1,2,6.13
3,2,1,3,5.308
3,2,2,1,6.398
3,2,2,2,6.533
3,2,2,3,6.569
3,2,3,1,8.662
3,2,3,2,8.526
3,2,3,3,8.514
3,3,1,1,6.215
3,3,1,2,7.106
3,3,1,3,6.318
3,3,2,1,6.953
3,3,2,2,6.914
3,3,2,3,7.991
3,3,3,1,9.112
3,3,3,2,9.14
3,3,3,3,9.32
4,1,1,1,4.246
4,1,1,2,4.842
4,1,1,3,4.863
4,1,2,1,6.209
4,1,2,2,6.768
4,1,2,3,5.779
4,1,3,1,8.042
4,1,3,2,7.414
4,1,3,3,6.902
4,2,1,1,5.255
4,2,1,2,5.742
4,2,1,3,5.345
4,2,2,1,6.992
4,2,2,2,7.856
4,2,2,3,6.164
4,2,3,1,9.08
4,2,3,2,9.016
4,2,3,3,7.778
4,3,1,1,6.829
4,3,1,2,5.869
4,3,1,3,6.011
4,3,2,1,7.565
4,3,2,2,7.626
4,3,2,3,7.362
4,3,3,1,9.66
4,3,3,2,8.966
4,3,3,3,9.128
5,1,1,1,3.132
5,1,1,2,4.375
5,1,1,3,4.678
5,1,2,1,6.86
5,1,2,2,6.894
5,1,2,3,6.573
5,1,3,1,9.314
5,1,3,2,8.508
5,1,3,3,8.032
5,2,1,1,5.389
5,2,1,2,4.315
5,2,1,3,5.896
5,2,2,1,6.857
5,2,2,2,6.974
5,2,2,3,7.422
5,2,3,1,9.224
5,2,3,2,9.68
5,2,3,3,9.294
5,3,1,1,5.217
5,3,1,2,5.389
5,3,1,3,7.309
5,3,2,1,7.254
5,3,2,2,7.812
5,3,2,3,8.95
5,3,3,1,10.36
5,3,3,2,9.896
5,3,3,3,9.712
