Method,Farm,Weight
SubIrrigation,1,350
SubIrrigation,2,370
SubIrrigation,3,460
SubIrrigation,4,452
SubIrrigation,5,343
SubIrrigation,6,340
SubIrrigation,7,327
SubIrrigation,8,378
SubIrrigation,9,419
SubIrrigation,10,458
Surface,1,597
Surface,2,636
Surface,3,591
Surface,4,603
Surface,5,649
Surface,6,512
Surface,7,588
Surface,8,689
Surface,9,690
Surface,10,608
Trickle,1,248
Trickle,2,382
Trickle,3,348
Trickle,4,366
Trickle,5,258
Trickle,6,321
Trickle,7,423
Trickle,8,406
Trickle,9,400
Trickle,10,380
CenterPoint,1,391
CenterPoint,2,434
CenterPoint,3,492
CenterPoint,4,468
CenterPoint,5,457
CenterPoint,6,406
CenterPoint,7,466
CenterPoint,8,502
CenterPoint,9,559
CenterPoint,10,469
Lateral,1,423
Lateral,2,461
Lateral,3,504
Lateral,4,580
Lateral,5,449
Lateral,6,464
Lateral,7,550
Lateral,8,526
Lateral,9,469
Lateral,10,550
